Longitude;Latitude;Plotname;Plotid;Corner;Status;Location
10.3243397554762;51.1858055314504;HEW01;H274;NE;VIP;Forest
10.3229024603238;51.1858055314504;HEW01;H274;NW;VIP;Forest
10.3243397554762;51.1849046305495;HEW01;H274;SE;VIP;Forest
10.3229024603238;51.1849046305495;HEW01;H274;SW;VIP;Forest
10.3706729702856;51.2104617449504;HEW02;H301;NE;VIP;Forest
10.3692349057144;51.2104617449504;HEW02;H301;NW;VIP;Forest
10.3706729702856;51.2095608440496;HEW02;H301;SE;VIP;Forest
10.3692349057144;51.2095608440496;HEW02;H301;SW;VIP;Forest
10.3114584526828;51.2720981533504;HEW03;H303;NE;VIP;Forest
10.3100184599172;51.2720981533504;HEW03;H303;NW;VIP;Forest
10.3114584526828;51.2711972524495;HEW03;H303;SE;VIP;Forest
10.3100184599172;51.2711972524495;HEW03;H303;SW;VIP;Forest
10.5340490759069;51.3699320084504;HEW04;H307;NE;VIP;Forest
10.5326060084931;51.3699320084504;HEW04;H307;NW;VIP;Forest
10.5340490759069;51.3690311075495;HEW04;H307;SE;VIP;Forest
10.5326060084931;51.3690311075495;HEW04;H307;SW;VIP;Forest
10.2416777462653;51.2643285800504;HEW05;H154;NE;VIP;Forest
10.2402379969347;51.2643285800504;HEW05;H154;NW;VIP;Forest
10.2416777462653;51.2634276791496;HEW05;H154;SE;VIP;Forest
10.2402379969347;51.2634276791496;HEW05;H154;SW;VIP;Forest
10.2400981972423;51.2681702817504;HEW06;H150;NE;VIP;Forest
10.2386583275577;51.2681702817504;HEW06;H150;NW;VIP;Forest
10.2400981972423;51.2672693808496;HEW06;H150;SE;VIP;Forest
10.2386583275577;51.2672693808496;HEW06;H150;SW;VIP;Forest
10.3861666751352;51.1315428744504;HEW07;H71011;NE;VIP;Forest
10.3847310694648;51.1315428744504;HEW07;H71011;NW;VIP;Forest
10.3861666751352;51.1306419735496;HEW07;H71011;SE;VIP;Forest
10.3847310694648;51.1306419735496;HEW07;H71011;SW;VIP;Forest
10.5176887296756;51.3562426273505;HEW08;H311;NE;VIP;Forest
10.5162460935244;51.3562426273505;HEW08;H311;NW;VIP;Forest
10.5176887296756;51.3553417264496;HEW08;H311;SE;VIP;Forest
10.5162460935244;51.3553417264496;HEW08;H311;SW;VIP;Forest
10.381867439816;51.1306923802504;HEW09;H71310;NE;VIP;Forest
10.380431860584;51.1306923802504;HEW09;H71310;NW;VIP;Forest
10.381867439816;51.1297914793496;HEW09;H71310;SE;VIP;Forest
10.380431860584;51.1297914793496;HEW09;H71310;SW;VIP;Forest
10.4631510379752;51.0904377987504;HEW10;H1363;NE;VIP;Forest
10.4617167086248;51.0904377987504;HEW10;H1363;NW;VIP;Forest
10.4631510379752;51.0895368978496;HEW10;H1363;SE;VIP;Forest
10.4617167086248;51.0895368978496;HEW10;H1363;SW;VIP;Forest
10.4015716859659;51.1032848929504;HEW11;H8568;NE;VIP;Forest
10.4001369580341;51.1032848929504;HEW11;H8568;NW;VIP;Forest
10.4015716859659;51.1023839920495;HEW11;H8568;SE;VIP;Forest
10.4001369580341;51.1023839920495;HEW11;H8568;SW;VIP;Forest
10.4559003113605;51.1011385505504;HEW12;H22701;NE;VIP;Forest
10.4544656500395;51.1011385505504;HEW12;H22701;NW;VIP;Forest
10.4559003113605;51.1002376496496;HEW12;H22701;SE;VIP;Forest
10.4544656500395;51.1002376496496;HEW12;H22701;SW;VIP;Forest
10.3136662497899;51.2430944118504;HEW13;H302;NE;EP;Forest
10.3122271652101;51.2430944118504;HEW13;H302;NW;EP;Forest
10.3136662497899;51.2421935109496;HEW13;H302;SE;EP;Forest
10.3122271652101;51.2421935109496;HEW13;H302;SW;EP;Forest
10.2588731758331;51.3666143944504;HEW14;H306;NE;EP;Forest
10.2574302129669;51.3666143944504;HEW14;H306;NW;EP;Forest
10.2588731758331;51.3657134935496;HEW14;H306;SE;EP;Forest
10.2574302129669;51.3657134935496;HEW14;H306;SW;EP;Forest
10.3908808642552;51.2055276239504;HEW15;H87;NE;EP;Forest
10.3894429537448;51.2055276239504;HEW15;H87;NW;EP;Forest
10.3908808642552;51.2046267230496;HEW15;H87;SE;EP;Forest
10.3894429537448;51.2046267230496;HEW15;H87;SW;EP;Forest
10.3661844787585;51.1836108075504;HEW16;H58;NE;EP;Forest
10.3647472520415;51.1836108075504;HEW16;H58;NW;EP;Forest
