Plotname;Plotid;Corner;Status;Location;Longitude;Latitude;utm_x;utm_y
HEG01;H4580;NE;VIP;Grassland;10.4057205783113;50.9718735628252;598696.43373324;5647637.75564795
HEG01;H4580;NW;VIP;Grassland;10.4050052424887;50.9718735628252;598646.211677363;5647636.79850326
HEG01;H4580;SE;VIP;Grassland;10.4057205783113;50.9714231123748;598697.388571463;5647587.66720703
HEG01;H4580;SW;VIP;Grassland;10.4050052424887;50.9714231123748;598647.166029557;5647586.71005918
HEG02;H8302;NE;VIP;Grassland;10.4303679025024;51.0009741500252;600364.081945877;5650906.91168333
HEG02;H8302;NW;VIP;Grassland;10.4296521180976;51.0009741500252;600313.859932229;5650905.93734538
HEG02;H8302;SE;VIP;Grassland;10.4303679025024;51.0005236995748;600365.053935074;5650856.82311702
HEG02;H8302;SW;VIP;Grassland;10.4296521180976;51.0005236995748;600314.831434882;5650855.84877584
HEG03;H8709;NE;VIP;Grassland;10.4333067480049;50.9983167186252;600576.027846821;5650615.41995229
HEG03;H8709;NW;VIP;Grassland;10.4325910045951;50.9983167186252;600525.805852714;5650614.44364816
HEG03;H8709;SE;VIP;Grassland;10.4333067480049;50.9978662681748;600577.001796652;5650565.33142078
HEG03;H8709;SW;VIP;Grassland;10.4325910045951;50.9978662681748;600526.779316048;5650564.3551134
HEG04;H20510;NE;VIP;Grassland;10.4365391422949;51.1135875772252;600552.83341597;5663437.67167771
HEG04;H20510;NW;VIP;Grassland;10.4358216149051;51.1135875772252;600502.611167773;5663436.69157373
HEG04;H20510;SE;VIP;Grassland;10.4365391422949;51.1131371267748;600553.811169502;5663387.58222955
HEG04;H20510;SW;VIP;Grassland;10.4358216149051;51.1131371267748;600503.588432793;5663386.60212225
HEG05;H20816;NE;VIP;Grassland;10.3228862810801;51.2161196386252;592392.737016498;5674690.16308554
HEG05;H20816;NW;VIP;Grassland;10.3221671569199;51.2161196386252;592342.514014814;5674689.25925729
