Longitude;Latitude;Plotname;Plotid;Status;Location
10.3236211079;51.185355081;HEW01;H274;VIP;Forest
10.369953938;51.2100112945;HEW02;H301;VIP;Forest
10.3107384563;51.2716477029;HEW03;H303;VIP;Forest
10.5333275422;51.369481558;HEW04;H307;VIP;Forest
10.2409578716;51.2638781296;HEW05;H154;VIP;Forest
10.2393782624;51.2677198313;HEW06;H150;VIP;Forest
10.3854488723;51.131092424;HEW07;H71011;VIP;Forest
10.5169674116;51.3557921769;HEW08;H311;VIP;Forest
10.3811496502;51.1302419298;HEW09;H71310;VIP;Forest
10.4624338733;51.0899873483;HEW10;H1363;VIP;Forest
10.400854322;51.1028344425;HEW11;H8568;VIP;Forest
10.4551829807;51.1006881001;HEW12;H22701;VIP;Forest
10.3129467075;51.2426439614;HEW13;H302;EP;Forest
10.2581516944;51.366163944;HEW14;H306;EP;Forest
10.390161909;51.2050771735;HEW15;H87;EP;Forest
10.3654658654;51.1831603571;HEW16;H58;EP;Forest
10.2269038462;51.282813576;HEW17;H130;EP;Forest
10.3654559913;51.3369669282;HEW18;H637;EP;Forest
10.3377262691;51.1992291968;HEW19;H32;EP;Forest
10.3602545497;51.3339278121;HEW20;H548;EP;Forest
10.3190053755;51.1942782958;HEW21;H20;EP;Forest
10.3592785389;51.3371502544;HEW22;H551;EP;Forest
10.2084480501;51.2782177401;HEW23;H104;EP;Forest
10.4912116326;51.0465026853;HEW24;H300;EP;Forest
10.2239693692;51.2845669846;HEW25;H304;EP;Forest
10.5130315249;51.3443262423;HEW26;H313;EP;Forest
10.521263964;51.3561161433;HEW27;H310;EP;Forest
10.526917886;51.358884052;HEW28;H308;EP;Forest
10.3796868348;51.1275428161;HEW29;H71407;EP;Forest
10.3786368177;51.134683874;HEW30;H71515;EP;Forest
10.3773142326;51.1422526286;HEW31;H71623;EP;Forest
10.3585903186;51.1395282849;HEW32;H72920;EP;Forest
10.5088148513;51.3415759448;HEW33;H38964;EP;Forest
10.4542735979;51.0847108328;HEW34;H1192;EP;Forest
10.4050739485;51.1046899612;HEW35;H9686;EP;Forest
10.4093031658;51.106275772;HEW36;H10804;EP;Forest
10.4586076362;51.0844264448;HEW37;H12905;EP;Forest
10.4601745431;51.0793590584;HEW38;H13104;EP;Forest
10.4658614642;51.0929539322;HEW39;H13939;EP;Forest
10.4982588767;51.0799442764;HEW40;H18639;EP;Forest
10.4549374111;51.1080561853;HEW41;H22709;EP;Forest
10.4598259195;51.1027539809;HEW42;H23819;EP;Forest
10.3580238771;51.3320987308;HEW43;H531;EP;Forest
10.3680124678;51.3336765716;HEW44;H674;EP;Forest
10.2611071882;51.3639605292;HEW45;H305;EP;Forest
10.475472469;51.0480963843;HEW46;H238;EP;Forest
10.3783438672;51.1789347352;HEW47;H68;EP;Forest
10.393698314;51.1366895595;HEW48;H70517;EP;Forest
10.3845393934;51.1436471085;HEW49;H71125;EP;Forest
10.4554452066;51.0928168175;HEW50;H12504;EP;Forest
10.4053629104;50.9716483376;HEG01;H4580;VIP;Grassland
10.4300100103;51.0007489248;HEG02;H8302;VIP;Grassland
10.4329488763;50.9980914934;HEG03;H8709;VIP;Grassland
10.4361803786;51.113362352;HEG04;H20510;VIP;Grassland
10.322526719;51.2158944134;HEG05;H20816;VIP;Grassland
10.3912208733;51.2149350553;HEG06;H30409;VIP;Grassland
10.4104125695;51.2735825557;HEG07;H12850;VIP;Grassland
10.4179445812;51.2712574671;HEG08;H14707;VIP;Grassland
10.3807872979;51.2238973736;HEG09;H30212;VIP;Grassland
10.4467607106;51.2751490188;HEG10;H22151;EP;Grassland
10.4561779278;51.2806670523;HEG11;H24761;EP;Grassland
10.5758197075;51.0772200104;HEG12;H20116;EP;Grassland
10.3799460956;51.2596811245;HEG13;H4651;EP;Grassland
10.4357998366;51.2940601984;HEG14;H19568;EP;Grassland
10.4862323114;51.0680130317;HEG15;H16781;EP;Grassland
10.4588433406;51.0334951155;HEG16;H12643;EP;Grassland
10.4704560664;51.070504549;HEG17;H14529;EP;Grassland
10.4246855814;51.2836635589;HEG18;H16581;EP;Grassland
10.4732197941;51.0732375079;HEG19;H20606;EP;Grassland
10.370980806;51.2210645074;HEG20;H30205;EP;Grassland
10.7525686959;51.1907043424;HEG21;H30909;EP;Grassland
10.3249271584;51.0307536694;HEG22;H37447;EP;Grassland
10.3381864542;51.1343049651;HEG23;H20426;EP;Grassland
10.3512145548;51.101066362;HEG24;H20438;EP;Grassland
10.322341733;51.0233900146;HEG25;H37029;EP;Grassland
10.3717252509;51.281500899;HEG26;H2815;EP;Grassland
10.5969886442;51.0864472749;HEG27;H20121;EP;Grassland
10.4969215328;51.265906526;HEG28;H20535;EP;Grassland
10.4984272508;51.2641100338;HEG29;H20537;EP;Grassland
10.3599108538;51.2018524729;HEG30;H20825;EP;Grassland
10.2211956781;51.1703585041;HEG31;H20003;EP;Grassland
10.5676100811;51.075510637;HEG32;H20106;EP;Grassland
10.4259631657;51.1114363932;HEG33;H20508;EP;Grassland
10.3869351606;51.2142917637;HEG34;H30402;EP;Grassland
10.4111191881;51.219827364;HEG35;H30417;EP;Grassland
10.510233429;51.0314465615;HEG36;H20241;EP;Grassland
10.5144943419;51.032390748;HEG37;H20245;EP;Grassland
10.3415352077;51.1162026908;HEG38;H20433;EP;Grassland
10.3462476695;51.1202248042;HEG39;H20436;EP;Grassland
10.4468140957;50.9668129807;HEG40;H30615;EP;Grassland
10.3669167564;51.221025855;HEG41;H888;EP;Grassland
10.4647839624;51.0694413682;HEG42;H13708;EP;Grassland
10.4358178074;51.3019709052;HEG43;H19577;EP;Grassland
10.4796324688;51.0551983135;HEG44;H20215;EP;Grassland
10.5085340367;51.0395333994;HEG45;H20258;EP;Grassland
10.7535482021;51.2068950614;HEG46;H30915;EP;Grassland
10.3719165024;51.2842003328;HEG47;H2818;EP;Grassland
10.3801379532;51.286831328;HEG48;H5053;EP;Grassland
10.3918830227;51.2789028874;HEG49;H8020;EP;Grassland
10.4207739499;51.2765094035;HEG50;H15457;EP;Grassland
