Plotname;Plotid;Status;Location;Longitude;Latitude;utm_x;utm_y
HEG01;H4580;VIP;Grassland;10.4053629104;50.9716483376;598671.800004072;5647612.23279299
HEG02;H8302;VIP;Grassland;10.4300100103;51.0007489248;600339.456813203;5650881.38016896
HEG03;H8709;VIP;Grassland;10.4329488763;50.9980914934;600551.403704249;5650589.88747223
HEG04;H20510;VIP;Grassland;10.4361803786;51.113362352;600528.211047709;5663412.13683913
HEG05;H20816;VIP;Grassland;10.322526719;51.2158944134;592368.076239815;5674664.66571411
HEG06;H30409;VIP;Grassland;10.3912208733;51.2149350553;597167.644366652;5674646.56521538
HEG07;H12850;VIP;Grassland;10.4104125695;51.2735825557;598382.782965476;5681193.78668468
HEG08;H14707;VIP;Grassland;10.4179445812;51.2712574671;598913.145160816;5680945.35139036
HEG09;H30212;VIP;Grassland;10.3807872979;51.2238973736;596420.231257333;5675629.44130262
HEG10;H22151;EP;Grassland;10.4467607106;51.2751490188;600914.686106293;5681417.30634508
HEG11;H24761;EP;Grassland;10.4561779278;51.2806670523;601559.357140873;5682043.90331962
HEG12;H20116;EP;Grassland;10.5758197075;51.0772200104;610388.075553273;5659593.241631
HEG13;H4651;EP;Grassland;10.3799460956;51.2596811245;596286.744488162;5679607.54312824
HEG14;H19568;EP;Grassland;10.4357998366;51.2940601984;600109.048669298;5683505.25407799
HEG15;H16781;EP;Grassland;10.4862323114;51.0680130317;604133.33857571;5658438.95902099
HEG16;H12643;EP;Grassland;10.4588433406;51.0334951155;602290.430113725;5654562.29023192
HEG17;H14529;EP;Grassland;10.4704560664;51.070504549;603022.489687339;5658693.81942644
HEG18;H16581;EP;Grassland;10.4246855814;51.2836635589;599356.594886136;5682334.03071259
HEG19;H20606;EP;Grassland;10.4732197941;51.0732375079;603210.031794365;5659001.58760156
HEG20;H30205;EP;Grassland;10.370980806;51.2210645074;595741.350590627;5675301.60130574
HEG21;H30909;EP;Grassland;10.7525686959;51.1907043424;622468.155792887;5672492.01936162
HEG22;H37447;EP;Grassland;10.3249271584;51.0307536694;592906.411721071;5654080.06121417
HEG23;H20426;EP;Grassland;10.3381864542;51.1343049651;593626.858812462;5665611.66312219
HEG24;H20438;EP;Grassland;10.3512145548;51.101066362;594606.206429585;5661932.20623439
HEG25;H37029;EP;Grassland;10.322341733;51.0233900146;592739.818089865;5653257.97976741
