Longitude;Latitude;Plotname;Plotid;Corner;Status;Location
13.8471137226013;52.9012977406504;SEW01;S5110;NE;VIP;Forest
13.8456201771987;52.9012977406504;SEW01;S5110;NW;VIP;Forest
13.8471137226013;52.9003968397496;SEW01;S5110;SE;VIP;Forest
13.8456201771987;52.9003968397496;SEW01;S5110;SW;VIP;Forest
13.7787757679251;52.9521793144505;SEW02;S5090;NE;VIP;Forest
13.7772804660749;52.9521793144505;SEW02;S5090;NW;VIP;Forest
13.7787757679251;52.9512784135496;SEW02;S5090;SE;VIP;Forest
13.7772804660749;52.9512784135496;SEW02;S5090;SW;VIP;Forest
13.6437487193747;52.9211578866504;SEW03;S5112;NE;VIP;Forest
13.6422544890253;52.9211578866504;SEW03;S5112;NW;VIP;Forest
13.6437487193747;52.9202569857495;SEW03;S5112;SE;VIP;Forest
13.6422544890253;52.9202569857495;SEW03;S5112;SW;VIP;Forest
13.8480584296918;52.9177970811505;SEW04;S467;NE;VIP;Forest
13.8465643153082;52.9177970811505;SEW04;S467;NW;VIP;Forest
13.8480584296918;52.9168961802496;SEW04;S467;SE;VIP;Forest
13.8465643153082;52.9168961802496;SEW04;S467;SW;VIP;Forest
13.8861157045589;53.0574840105505;SEW05;S219;NE;VIP;Forest
13.8846167506411;53.0574840105505;SEW05;S219;NW;VIP;Forest
13.8861157045589;53.0565831096496;SEW05;S219;SE;VIP;Forest
13.8846167506411;53.0565831096496;SEW05;S219;SW;VIP;Forest
13.842434933591;52.9078932434504;SEW06;S5111;NE;VIP;Forest
13.840941160809;52.9078932434504;SEW06;S5111;NW;VIP;Forest
13.842434933591;52.9069923425496;SEW06;S5111;SE;VIP;Forest
13.840941160809;52.9069923425496;SEW06;S5111;SW;VIP;Forest
13.6951692866847;53.1077984699504;SEW07;S5106;NE;VIP;Forest
13.6936685797153;53.1077984699504;SEW07;S5106;NW;VIP;Forest
13.6951692866847;53.1068975690496;SEW07;S5106;SE;VIP;Forest
13.6936685797153;53.1068975690496;SEW07;S5106;SW;VIP;Forest
