Plotname;Plotid;Corner;Status;Location;Longitude;Latitude;utm_x;utm_y
SEG01;S1029;NE;VIP;Grassland;13.9700186160037;53.0876453451252;832747.560593915;5893571.94764131
SEG01;S1029;NW;VIP;Grassland;13.9692686099963;53.0876453451252;832697.382239573;5893568.45895958
SEG01;S1029;SE;VIP;Grassland;13.9700186160037;53.0871948946748;832751.041086466;5893521.89072198
SEG01;S1029;SW;VIP;Grassland;13.9692686099963;53.0871948946748;832700.86220536;5893518.40202423
SEG02;S573;NE;VIP;Grassland;13.9804220413445;53.0895321246252;833428.979647882;5893830.06405418
SEG02;S573;NW;VIP;Grassland;13.9796720024555;53.0895321246252;833378.801523267;5893826.56796183
SEG02;S573;SE;VIP;Grassland;13.9804220413445;53.0890816741748;833432.467533857;5893780.00735337
SEG02;S573;SW;VIP;Grassland;13.9796720024555;53.0890816741748;833382.288882433;5893776.51124497
SEG03;S526;NE;VIP;Grassland;13.9860747777721;53.1030595330252;833702.278098727;5895359.67156766
SEG03;S526;NW;VIP;Grassland;13.9853245030279;53.1030595330252;833652.100143773;5895356.1708782
SEG03;S526;SE;VIP;Grassland;13.9860747777721;53.1026090825748;833705.770576151;5895309.6149597
SEG03;S526;SW;VIP;Grassland;13.9853245030279;53.1026090825748;833655.592094126;5895306.11425413
SEG04;S712;NE;VIP;Grassland;14.0022463271375;53.1139794184252;834698.871436743;5896648.72587786
SEG04;S712;NW;VIP;Grassland;14.0014958618625;53.1139794184252;834648.693869869;5896645.21330046
SEG04;S712;SE;VIP;Grassland;14.0022463271375;53.1135289679748;834702.37577776;5896598.66959537
SEG04;S712;SW;VIP;Grassland;14.0014958618625;53.1135289679748;834652.197683591;5896595.15700178
SEG05;S667;NE;VIP;Grassland;14.0008988359552;53.1076778828252;834657.784076887;5895942.16114553
SEG05;S667;NW;VIP;Grassland;14.0001484806448;53.1076778828252;834607.606458156;5895938.64980541
SEG05;S667;SE;VIP;Grassland;14.0008988359552;53.1072274323748;834661.287181056;5895892.1048469
SEG05;S667;SW;VIP;Grassland;14.0001484806448;53.1072274323748;834611.109035151;5895888.59349062
SEG06;S1012;NE;VIP;Grassland;13.6232084729366;53.1037204904252;809427.393995083;5893801.69571261
SEG06;S1012;NW;VIP;Grassland;13.6224581866634;53.1037204904252;809377.20852271;5893798.45044983
SEG06;S1012;SE;VIP;Grassland;13.6232084729366;53.1032700399748;809430.63166431;5893751.63160127
SEG06;S1012;SW;VIP;Grassland;13.6224581866634;53.1032700399748;809380.445665176;5893748.38632359
SEG07;S570;NE;VIP;Grassland;13.9774437388915;53.0886079686252;833236.880566927;5893713.48688704
SEG07;S570;NW;VIP;Grassland;13.9766937161085;53.0886079686252;833186.702375121;5893709.99293375
SEG07;S570;SE;VIP;Grassland;13.9774437388915;53.0881575181748;833240.366318653;5893663.43012443
