Longitude;Latitude;Plotname;Plotid;Status;Location
13.8463669499;52.9008472902;SEW01;S5110;VIP;Forest
13.778028117;52.951728864;SEW02;S5090;VIP;Forest
13.6430016042;52.9207074362;SEW03;S5112;VIP;Forest
13.8473113725;52.9173466307;SEW04;S467;VIP;Forest
13.8853662276;53.0570335601;SEW05;S219;VIP;Forest
13.8416880472;52.907442793;SEW06;S5111;VIP;Forest
13.6944189332;53.1073480195;SEW07;S5106;VIP;Forest
13.9303378591;53.1917971616;SEW08;S5113;VIP;Forest
13.8101029479;53.044586875;SEW09;S5114;VIP;Forest
13.637843132;53.0910959427;SEW10;S5073;EP;Forest
13.6337037671;53.0902936541;SEW11;S5075;EP;Forest
13.6982632545;53.0883300835;SEW12;S5094;EP;Forest
13.8639279627;53.0163657036;SEW13;S154;EP;Forest
13.7521735271;52.9179136611;SEW14;S5098;EP;Forest
13.7375525556;52.914542078;SEW15;S5102;EP;Forest
13.8639856255;53.0765831695;SEW16;S260;EP;Forest
13.8274870493;52.9423507679;SEW17;S5001;EP;Forest
13.9172479943;52.8624230856;SEW18;S5051;EP;Forest
13.6350797244;53.0939848778;SEW19;S5070;EP;Forest
13.6353842203;53.0886055083;SEW20;S5074;EP;Forest
13.740450917;52.9155883093;SEW21;S5101;EP;Forest
13.9140747207;53.0601385484;SEW22;S213;EP;Forest
13.7791918682;52.9489729846;SEW23;S5089;EP;Forest
13.9671737446;52.8897190116;SEW24;S5092;EP;Forest
13.7610957942;52.9209815366;SEW25;S5095;EP;Forest
13.7461817871;52.9174012798;SEW26;S5100;EP;Forest
14.0010438422;52.8899546096;SEW27;S5105;EP;Forest
13.6640414169;52.883956729;SEW28;S5107;EP;Forest
13.8622360487;53.0172391815;SEW29;S156;EP;Forest
13.9223631143;53.06213691;SEW30;S217;EP;Forest
13.9033696983;52.8810775398;SEW31;S5116;EP;Forest
13.9270461979;53.0627722974;SEW32;S292;EP;Forest
13.8874377589;52.9150420243;SEW33;S5038;EP;Forest
13.8521470181;52.8958258919;SEW34;S5108;EP;Forest
13.8534187775;52.9112679466;SEW35;S475;EP;Forest
13.7541425496;52.9513641654;SEW36;S5086;EP;Forest
13.7826121483;52.9400215749;SEW37;S5091;EP;Forest
13.6707369457;52.8884802265;SEW38;S5104;EP;Forest
13.8664454739;52.9247557336;SEW39;S384;EP;Forest
13.8623651461;52.9147687623;SEW40;S391;EP;Forest
13.9099253483;52.9122938399;SEW41;S397;EP;Forest
13.9145343372;52.9027475084;SEW42;S414;EP;Forest
13.9283255647;52.9009765233;SEW43;S421;EP;Forest
13.859220603;52.9184590159;SEW44;S488;EP;Forest
13.8378888408;53.0454545169;SEW45;S353;EP;Forest
13.7774439698;53.0721224497;SEW46;S5060;EP;Forest
13.7713654294;53.0712780629;SEW47;S5063;EP;Forest
13.8449953984;53.0512659201;SEW48;S360;EP;Forest
13.8912306282;52.885260427;SEW49;S438;EP;Forest
13.7870431421;53.039528434;SEW50;S5117;EP;Forest
13.969643613;53.0874201199;SEG01;S1029;VIP;Grassland
13.9800470219;53.0893068994;SEG02;S573;VIP;Grassland
13.9856996404;53.1028343078;SEG03;S526;VIP;Grassland
14.0018710945;53.1137541932;SEG04;S712;VIP;Grassland
14.0005236583;53.1074526576;SEG05;S667;VIP;Grassland
13.6228333298;53.1034952652;SEG06;S1012;VIP;Grassland
13.9770687275;53.0883827434;SEG07;S570;VIP;Grassland
14.0170996354;53.1139706829;SEG08;S652;VIP;Grassland
13.6125669145;53.0981819341;SEG09;S990;VIP;Grassland
13.9975565113;53.1066189775;SEG10;S502;EP;Grassland
13.9929664034;53.1055917908;SEG11;S505;EP;Grassland
13.9651666142;53.0873902852;SEG12;S561;EP;Grassland
13.8190368943;52.9729737541;SEG13;S719;EP;Grassland
13.9802599328;53.0866128921;SEG14;S1028;EP;Grassland
14.0091395643;53.1094117133;SEG15;S658;EP;Grassland
13.9991563761;53.1155376108;SEG16;S706;EP;Grassland
13.6259992127;53.098328709;SEG17;S1015;EP;Grassland
13.8756098085;53.1373051619;SEG18;S1039;EP;Grassland
14.0090911662;53.12451684;SEG19;S676;EP;Grassland
13.6153816683;53.1035166861;SEG20;S980;EP;Grassland
13.6111129329;53.1062437745;SEG21;S988;EP;Grassland
13.9738023393;53.1008363304;SEG22;S999;EP;Grassland
14.0259043152;53.1076629229;SEG23;S612;EP;Grassland
13.9960806945;53.0930375778;SEG24;S761;EP;Grassland
13.6179908205;53.1106282851;SEG25;S1007;EP;Grassland
14.0184348694;53.1058313536;SEG26;S1022;EP;Grassland
13.7073809813;53.1227841103;SEG27;S1051;EP;Grassland
14.0060802647;53.0931214508;SEG28;S1042;EP;Grassland
13.9986953531;53.090363765;SEG29;S1043;EP;Grassland
13.8306804543;53.1481412744;SEG30;S690;EP;Grassland
13.8354379183;53.1490864835;SEG31;S698;EP;Grassland
13.832087364;53.1519292507;SEG32;S701;EP;Grassland
13.8425129961;52.9857854702;SEG33;S732;EP;Grassland
13.8471996774;52.9831350747;SEG34;S738;EP;Grassland
13.8483181227;52.980270272;SEG35;S770;EP;Grassland
13.8376434069;52.9869062127;SEG36;S1035;EP;Grassland
13.8760304642;53.1349278101;SEG37;S1036;EP;Grassland
13.6757639408;53.1157329748;SEG38;S1044;EP;Grassland
13.8232869643;52.9809239074;SEG39;S780;EP;Grassland
13.8406712422;53.1157000428;SEG40;S850;EP;Grassland
13.8523423904;53.1221932473;SEG41;S974;EP;Grassland
13.9688288888;52.8706731952;SEG42;S1045;EP;Grassland
13.9678274355;52.876577569;SEG43;S1046;EP;Grassland
13.9651898491;52.8800593338;SEG44;S1047;EP;Grassland
13.9593929333;52.8814555267;SEG45;S1048;EP;Grassland
13.8263321419;52.9784378063;SEG46;S779;EP;Grassland
13.827582102;52.9872657751;SEG47;S801;EP;Grassland
13.6066414018;53.09720511;SEG48;S995;EP;Grassland
13.8565786823;52.9747334907;SEG49;S1033;EP;Grassland
13.7503876671;53.1217783222;SEG50;S1052;EP;Grassland
